word,pos,level,desc
"storage","noun","B2","when you put things in a safe place until they are needed"
"store","noun","B1","a large shop where you can buy many different types of goods"
"in store","noun","C1","going to happen soon"
"store (KEEP)","verb","B2","to put or keep things in a special place for use in the future"
"store (COMPUTER)","verb","B2","to keep information on a computer"
"storey","noun","B2","a level of a building"
"storm","noun","A2","very bad weather with a lot of rain, snow, wind, etc."
"stormy (WEATHER)","adjective","B2","If it is stormy, the weather is bad with a lot of wind and rain."
"stormy (ARGUING)","adjective","C1","A stormy relationship or situation involves a lot of anger and arguments."
"story (DESCRIPTION)","noun","A2","a description of a series of real or imaginary events which is intended to entertain people"
"story (REPORT)","noun","B2","a report in a newspaper or on a news broadcast of something that has happened"
"to cut a long story short","noun","C1","to mention only the final result or point of something without going into other details"
"story (EXPLANATION)","noun","C2","an explanation of why something happened, which may not be true"
"straight (NOT CURVING)","adjective","A2","not curved or bent"
"straight (HONEST)","adjective","B2","honest"
"straight (LEVEL)","adjective","B2","in a position that is level or vertical"
"get sth straight","adjective","C1","to make sure that you completely understand a situation"
"put/set the record straight","adjective","C1","to tell people the true facts about a situation"
"keep a straight face","adjective","C2","to manage to stop yourself from smiling or laughing"
"straight (LINE)","adverb","A2","in a straight line"
"straight (IMMEDIATELY)","adverb","B1","without pausing or delaying"
"straight away","adverb","B1","immediately"
"sit up/stand up straight","adverb","B2","to sit or stand with your body vertical"
"come/get straight to the point","adverb","B2","to say what you want to immediately and directly"
"not think straight","adverb","C1","If you cannot think straight, you are not thinking clearly about something."
"straightforward","adjective","B2","easy to do or understand"
"strain (PRESSURE)","noun","B2","pressure put on something by a bad situation or by too much weight or force"
"strain (WORRY)","noun","B2","when you feel nervous and worried about something"
"strain (INJURY)","noun","C2","an injury to part of your body that is caused by using it too much"
"strain (INJURE)","verb","B2","to injure part of your body by using it too much"
"strain (MONEY)","verb","C2","to cause too much of something to be used, especially money"
"strand (THREAD)","noun","C2","a thin piece of hair, thread, rope, etc."
"strand (PART OF STORY)","noun","C2","one part of a story, situation, idea, etc."
"stranded","adjective","C2","unable to leave a place"
"strange (UNUSUAL)","adjective","A2","If something is strange, it is surprising because it is unusual or unexpected."
"strange (NOT FAMILIAR)","adjective","B1","A strange person or place is one that you are not familiar with."
"strangely","adverb","B2","in a way that is unusual, unexpected or difficult to understand"
"stranger","noun","B1","someone you have never met before"
"strap","noun","C2","a narrow piece of material used to fasten two things together or to carry something"
"strategic","adjective","C1","helping to achieve a plan, usually in business, politics, or war"
"strategically","adverb","C2","in a strategic way"
"strategy","noun","B2","a plan that you use to achieve something"
"straw","noun","C1","the long, dried stems of plants such as wheat, often given to animals for sleeping on and eating"
"straw (TUBE)","noun","C2","a thin plastic or paper tube that you use for drinking through"
"the final/last straw","noun","C1","the last in a series of unpleasant events which finally makes you stop accepting a bad situation"
"strawberry","noun","B1","a small, red fruit with a green leaf at the top and small, brown seeds on its surface"
"stream","noun","B1","a small river"
"a stream of sth","noun","B2","a continuous flow of things or people"
"street","noun","A1","a road in a town or city that has houses or other buildings"
"Street","noun","A1","used in the name of a street as part of an address"
"be streets ahead (of sb/sth)","noun","C2","to be much better or more advanced than someone or something else"
"strength (STRONG)","noun","B2","the ability to do things that need a lot of physical effort or power"
"strength (GOOD QUALITIES)","noun","C1","a good quality or ability that makes someone or something effective"
"strength (BEING BRAVE)","noun","C1","when you are brave or determined in difficult situations"
"strength (INFLUENCE)","noun","C2","the power or influence that an organization, country, etc. has"
"go from strength to strength","noun","C1","to continue to become more successful"
"strengthen","verb","B2","to become stronger or make something become stronger"
"strenuous","adjective","C2","using or needing a lot of effort"
"stress (WORRY)","noun","B1","feelings of worry caused by difficult situations such as problems at work"
"stress (PRONUNCIATION)","noun","B2","when you say one part of a word more strongly than the rest"
"stress (IMPORTANCE)","noun","C1","special importance that you give to something"
"stress (EMPHASIZE)","verb","B2","to emphasize something in order to show that it is important"
"stress (PRONOUNCE)","verb","B2","to say one part of a word more strongly than the rest"
"stressed","adjective","B1","worried and not able to relax"
"stressful","adjective","B1","making you feel worried and not able to relax"
"stretch (MAKE BIGGER)","verb","B2","to become longer or wider, or to pull something so that it becomes longer or wider"
"stretch (BODY)","verb","B2","to make your body or part of your body straighter and longer"
"stretch away/into, etc.","verb","C2","to cover a large area"
"stretch","noun","C1","a continuous area of land or water"
"strict (PERSON)","adjective","B1","A strict person makes sure that children or people working for them behave well and does not allow them to break any rules."
"strict (RULE)","adjective","B2","If a rule, law, etc. is strict, it must be obeyed."
"strict (BEHAVIOUR)","adjective","B2","always behaving in a particular way because of your beliefs"
"strict (EXACT)","adjective","C2","exactly correct"
"strictly","adverb","B2","exactly or correctly"
"strictly forbidden/prohibited","adverb","B2","used to emphasize that something is not allowed"
"strike (HIT)","verb","B1","to hit someone or something"
"strike (THINK)","verb","B2","If a thought or idea strikes you, you suddenly think of it."
"what struck me/the first thing that struck me...","verb","B2","used when talking about a very obvious quality that you noticed when you first saw or met someone or something"
"strike (STOP WORK)","verb","B2","to stop working for a period of time because you want more money, better working conditions, etc."
"strike a balance","verb","C1","to give two things the same amount of attention"
"strike sb as sth","verb","C2","If someone or something strikes you as having a particular quality, they seem to have that quality."
"strike gold, oil, etc.","verb","C2","to find a supply of gold, oil, etc. in the ground"
"strike a match","verb","C2","to light a match in order to produce fire"
"strike (EFFECT)","verb","C2","If something bad strikes something or someone, it affects them strongly and quickly."
"strike","noun","B1","a period of time when people are not working because they want more money, better working conditions, etc."
"striker (WORKER)","noun","C1","someone who is on strike"
"striker (FOOTBALL PLAYER)","noun","C2","a football player whose job is to try to score goals"
"striking","adjective","B2","easily noticed"
"string (ROPE)","noun","B2","very thin rope used for tying things"
"string (MUSICAL INSTRUMENT)","noun","B2","a piece of wire that is part of a musical instrument"
"a string of sth","noun","C2","a number of similar things"
"pull strings","noun","C2","to secretly use the influence that you have over important people to get something or to help someone"
"no strings (attached)","noun","C2","If there are no strings attached to an offer or arrangement, there is nothing that is unpleasant that you have to accept."
"strip","noun","C1","a long, narrow piece of something"
"stripe","noun","B1","a long, straight area of colour"
"strive","verb","C2","to try very hard to do or achieve something"
"stroke (ILLNESS)","noun","B2","a sudden problem in your brain that changes the flow of blood and makes you unable to move part of your body"
"stroke (SWIMMING)","noun","C1","a style of swimming"
"a stroke of luck","noun","C2","something good that happens to you by chance"
"stroke (MOVEMENT)","noun","C2","a movement that you make against something with your hand, a pen, brush, etc."
"stroke","verb","B2","to gently move your hand over a surface"
"stroll along/down/through, etc.","verb","C1","to walk somewhere in a slow and relaxed way"
"stroll","noun","C1","a slow, relaxed walk somewhere"
"strong (PHYSICALLY POWERFUL)","adjective","A2","A strong person or animal is physically powerful."
"strong (DIFFICULT TO BREAK)","adjective","B1","A strong object does not break or get damaged easily."
"strong (NOTICEABLE)","adjective","B1","very noticeable or powerful"
"strong (PRODUCED WITH POWER)","adjective","B1","produced using a lot of power"
"strong (RELATIONSHIP)","adjective","B1","Strong relationships last for a long time, and are not easily spoiled."
"strong (GOOD QUALITY)","adjective","B2","of a good quality or level and likely to be successful or effective"
"strong (DETERMINED)","adjective","B2","A strong feeling, belief, or opinion is felt in a very deep and serious way."
"strong (PERSONALITY)","adjective","B2","If a person or their personality is strong, they are confident and able to deal with problems well."
"strong language","adjective","C1","words that some people might consider to be offensive"
"a strong chance/possibility, etc.","adjective","C2","something that is very likely to happen"
"strong opposition/support, etc.","adjective","C2","a lot of opposition/support, etc."
"be still going strong","adjective","C2","continuing to be successful or healthy after a long time"
"sb's strong point","adjective","C1","something that someone is very good at"
"strongly","adverb","B2","very much or in a very serious way"
"structural","adjective","C2","relating to the structure of something"
"structure (WAY PARTS ARE ARRANGED)","noun","B2","the way that parts of something are arranged or put together"
"structure (BUILDING)","noun","C2","a building or something that has been built"
"structure","verb","C2","to arrange something in an organized way"
"structured","adjective","C2","organized so that the parts relate well to each other"
"struggle (TRY HARD)","verb","B2","to try very hard to do something difficult"
"struggle (FIGHT)","verb","B2","to fight someone when they are holding you"
"struggle (TRY TO DEFEAT/PREVENT)","verb","C2","to use a lot of effort to defeat someone or prevent something"
"struggle (EFFORT)","noun","B2","when you try very hard to do something difficult"
"struggle (FIGHT)","noun","B2","a physical or mental fight"
"stubborn","adjective","B2","determined not to change your ideas, plans, etc., although other people want you to"
"stubbornness","noun","C2","the quality of being stubborn"
"stuck (NOT MOVE)","adjective","B2","not able to move anywhere"
"stuck (NOT CONTINUE)","adjective","C1","not able to continue reading, answering questions, etc. because something is too difficult"
"be/get stuck with sb/sth","adjective","C2","to have to deal with someone or something unpleasant because no one else wants to"
"student","noun","A1","a person who is learning at a college or university, or sometimes at a school"
"studio (TV/RADIO/MUSIC)","noun","B1","a room where television/radio programmes or music recordings are made"
"studio (FILM)","noun","B1","a fim company or a place where films are made"
"studio (ART)","noun","B2","a room where an artist, designer or photographer works"
"studies","noun","A2","the work that you do while you are at a college or university"
"study (ROOM)","noun","B1","a room in a house where you can read or work"
"study (LEARNING)","noun","B2","when you learn about a subject, usually at school or university"
"study (EXAMINING)","noun","B2","when someone examines a subject in detail in order to discover new information"
"study (UNIVERSITY/SCHOOL)","verb","A1","to learn about a subject, especially on an educational course or by reading books"
"study (EXAMINE)","verb","B2","to examine a subject in detail in order to discover new information"
"study (LOOK AT)","verb","B2","to look at or read through something very carefully"
"stuff","noun","B1","used to refer to a substance or a group of things or ideas, etc. without saying exactly what they are"
"know your stuff","noun","C2","to know a lot about a subject, or to be very good at doing something"
"stuff sth in/into/behind, etc.","verb","C2","to push something into a small space, or to fill a container with something, often in a forceful or careless way"
"stumble (FALL)","verb","C2","to step badly and almost fall over"
"stumble (PAUSE)","verb","C2","to make a mistake, such as pausing or repeating a word, while speaking or performing"
"stunned","adjective","C2","very surprised and shocked"
"stunning","adjective","B2","very beautiful or attractive"
"stupid","adjective","B1","silly or not intelligent"
"stupidity","noun","C2","the state of being silly or unwise"
"style (WAY)","noun","B1","a way of doing something that is typical of a particular person, group, place, or period"
"style (FASHION)","noun","B1","a way of designing hair, clothes, furniture, etc."
"style (QUALITY)","noun","B2","the quality of being attractive and fashionable or behaving in a way which makes people admire you"
"cramp sb's style","noun","C2","to prevent someone from enjoying themselves, especially by going somewhere with them"
"stylish","adjective","B1","fashionable and attractive"
"subconsciously","adverb","C2","without being consciously aware of something"
"subject (STUDY)","noun","A1","an area of knowledge which is studied in school, college or university"
"subject (GRAMMAR)","noun","B1","the person or thing which performs the action described by the verb"
"subject (THING TALKED ABOUT)","noun","B1","what someone is writing or talking about"
"change the subject","noun","B2","to start talking about a different subject"
"drop it/the subject","noun","C2","to stop talking about something, especially because it is annoying or upsetting someone"
"subject to sth","adjective","C1","often affected by something, especially something unpleasant"
"subject to sth","adjective","C2","only able to happen if something else happens"
"subject","adjective","C2","a person who is written about in a book or who is shown in a picture"
"subjective","adjective","C1","influenced by someone's beliefs or feelings, instead of facts"
"submit (GIVE)","verb","B2","to send a document, plan, etc. to someone so that they can consider it"
"submit (OBEY)","verb","C2","to accept that someone has control over you and do what they tell you to do"
"subsequent","adjective","C1","happening after something else"
"subsequently","adverb","C1","after that"
"subsidy","noun","C1","money given by a government or other organization to pay part of the cost of something"
"substance","noun","B2","a solid, liquid, or gas"
"the substance of sth","noun","C2","the most important part of what someone has said or written"
"substantial","adjective","B2","large in amount"
"substantially","adverb","C1","to a large degree"
"substitute","verb","B2","to use someone or something instead of another person or thing"
"substitute","noun","B2","a thing or person that is used instead of another thing or person"
"substitution","noun","C1","when you use someone or something instead of another person or thing"
"subtitles","noun","C1","words shown at the bottom of a cinema or television screen to explain what is being said"
"subtle (NOT OBVIOUS)","adjective","C2","not obvious or easy to notice"
"subtle (NOT STRONG)","adjective","C2","A subtle flavour, colour, etc. is delicate and not strong or bright."
"subtle (CLEVER)","adjective","C2","clever in a way that does not attract attention"
"suburb","noun","B2","an area on the edge of a large town or city where people who work in the town or city often live"
"subway","noun","B2","a passage under a road or railway for people to walk through"
"succeed","verb","B1","to achieve what you are trying to achieve"
"success (ACHIEVEMENT)","noun","B1","when you achieve what you want to achieve"
"success (GOOD THING)","noun","B1","something that has a good result or that is very popular"
"successful (ACHIEVEMENT)","adjective","B1","achieving what you want to achieve"
"successful (WORK)","adjective","B2","having achieved a lot or made a lot of money through your work"
"successful (POPULAR)","adjective","B2","very popular"
"successfully","adverb","B2","in a way that is successful"
"successive","adjective","C2","happening after each other"
"successor (PERSON)","noun","C1","someone who has a position or job after someone else"
"successor (THING)","noun","C2","an organization, product, etc. that follows and takes the place of an earlier one"
"succumb (NOT STOP)","verb","C2","to not be able to stop yourself doing something"
"succumb (SUFFER)","verb","C2","to die or suffer badly from an illness"
"such a(n)","determiner","A2","used to emphasize a quality of someone or something"
"such as","determiner","A2","for example"
"such","determiner","B2","used to refer to something or someone that you were just talking about, or something or someone of that type"
"no such thing","determiner","B2","used to emphasize that something does not exist"
"ever such a","determiner","C2","a very"
"such","pronoun","C2","used to refer to something or someone that you were just talking about, or something or someone of that type"
"suck","verb","C2","to have something in your mouth and use your tongue, lips, etc. to pull on it or to get liquid, air, etc. out of it"
"sudden","adjective","B2","done or happening quickly and unexpectedly"
"all of a sudden","noun","B2","suddenly and unexpectedly"
"suddenly","adverb","B1","quickly and unexpectedly"
"sue","verb","C1","to take legal action against someone and try to get money from them because they have harmed you"
"suffer from sth","verb","B1","to have an illness or other health problem"
"suffer (FEEL PAIN)","verb","B2","to experience pain or unpleasant emotions"
"suffer (EXPERIENCE)","verb","B2","to experience something bad"
"sufferer","noun","C2","someone who suffers from an illness or other health problem"
"suffering","noun","B2","when someone experiences pain or unpleasant emotions"
"sufficient","adjective","B2","as much as is necessary"
"sufficiently","adverb","C1","as much as is necessary"
"suffix","noun","B2","a group of letters that you add to the end of a word to make another word"
"sugar","noun","A1","a very sweet substance used to give flavour to food and drinks"
"suggest (IDEA)","verb","B1","to express an idea or plan for someone to consider"
"suggest (ADVICE)","verb","B1","to say that someone or something is suitable for something"
"suggest (SEEM TRUE)","verb","B2","to make something seem likely to be true"
"suggestion","noun","B1","an idea or plan that someone suggests"
"a suggestion of/that sth","noun","C2","something that makes something seem likely to be true"
"suicide","noun","B2","when you intentionally kill yourself"
"suit","noun","A2","a jacket and trousers or a jacket and skirt that are made from the same material"
"follow suit","noun","C2","to do the same as someone else has just done"
"suit (BE RIGHT)","verb","B2","to be convenient or suitable for a particular person, situation or occasion"
"suit (LOOK ATTRACTIVE)","verb","B2","to make someone look more attractive"
"be suited to/for sth","verb","C1","to be right for someone or something"
"suitability","noun","C1","the state of being suitable"
"suitable","adjective","B1","acceptable or right for someone or something"
"suitably","adverb","B2","in a way that is acceptable or right"
"suitcase","noun","A2","a large rectangular case with a handle for carrying clothes and possessions while travelling"
"sum","noun","B1","an amount of money"
"summarize","verb","C1","to describe briefly the main facts or ideas of something"
"summary","noun","B2","a short, clear description that gives the main facts or ideas about something"
"summer","noun","A1","the season of the year between spring and autumn, when the weather is warmest"
"summit (MEETING)","noun","C2","an important meeting between the leaders of two or more governments"
"summit (MOUNTAIN)","noun","C1","the top of a mountain"
"summon (ORDER)","verb","C2","to officially order someone to come to a place"
"summon (HELP)","verb","C2","to ask for someone or something that you need to help you in an emergency"
"summon","verb","C2","to make a great effort to produce a quality to help you deal with a situation"
"sun","noun","A1","the large, bright star that shines in the sky during the day and provides light and heat for the Earth, or the light and heat that comes from the sun"
"sunbathe","verb","B1","to sit or lie in the sun so that your skin becomes brown"
"Sunday","noun","A1","the day of the week after Saturday and before Monday, when most people in Western countries do not go to work"
"sunglasses","noun","A2","dark glasses that you wear to protect your eyes from the sun"
"sunlight","noun","B2","the light from the sun"
"sunny","adjective","A2","bright because of light from the sun"
"sunrise","noun","B1","when the sun appears in the morning and the sky becomes light"
"sunset","noun","B1","when the sun disappears in the evening and the sky becomes dark"
"sunshine","noun","B1","the light and heat that come from the sun"
"superb","adjective","B2","excellent"
"superficial (NOT SERIOUS)","adjective","C2","If someone is superficial, they never think about things that are serious or important."
"superficial (NOT COMPLETE)","adjective","C2","not complete and involving only the most obvious things"
"superficially","adverb","C2","in a way that is not deep or basic"
"superfluous","adjective","C2","not needed, or more than is needed"
"superior (BETTER)","adjective","C1","better than other things"
"superior (OPINION)","adjective","C2","thinking that you are better than other people"
"superior","noun","C1","someone in a higher position than you at work"
"superiority (BETTER)","noun","C2","when something is better than other things"
"superiority (OPINION)","noun","C2","when you think that you are better than other people"
"superlative","noun","A2","the form of an adjective or adverb which expresses that the thing or person being described has more of the particular quality than anything or anyone else of the same type"
"supermarket","noun","A1","a large shop that sells food, drink, products for the home, etc."
"supernatural","adjective","B2","used to describe things that cannot be explained by our knowledge of science or nature"
"the supernatural","noun","B2","things that cannot be explained by our knowledge of science or nature"
"supervise","verb","B2","to watch a person or activity to make certain that everything is done correctly, safely, etc."
"supervision","noun","C1","when you supervise someone or something"
"supervisor","noun","C1","a person whose job is to supervise someone or something"
"supper","noun","A2","a meal that you eat in the evening"
"supplement","noun","C2","an extra amount or part added to something"
"supplement","verb","C2","to add to something to make it larger or better"
"supplementary","adjective","C2","added to something"
"supplier","noun","B2","a person or company that provides something that people want or need"
"supply","noun","B2","an amount of something that is available for use"
"supply","verb","B2","to provide things that people want or need, often over a long period of time"
"support (SPORT)","verb","B1","to like a particular sports team, often going to see their matches"
"support (PROVIDE)","verb","B1","to look after someone by paying for their food, clothes, etc."
"support (HELP)","verb","B1","to help someone, often when they are having problems"
"support (AGREE)","verb","B2","to agree with an idea, group, or person"
"support (ENCOURAGE)","verb","B2","to give encouragement or financial help to someone or something because you want them to succeed"
"support (PROVE)","verb","C1","to help to show that something is true"
"support (HOLD)","verb","C2","to hold the weight of someone or something"
"support (HELP)","noun","B1","help or encouragement given to someone when they are having problems"
"support (AGREEMENT)","noun","B2","agreement with an idea, group or person"
"support (MONEY)","noun","B2","the money someone needs in order to buy food and clothes and pay for somewhere to live"
"supporter (SPORT)","noun","B1","someone who likes a particular sports team and wants them to win"
"supporter (OF IDEA/PERSON, ETC.)","noun","B2","someone who supports a particular idea, group or person"
"supportive","adjective","C1","giving help or encouragement"
"I suppose","verb","A2","used to show that you are not certain about something"
"I suppose (so)","verb","B1","used to show agreement to something when you do not really want to"
"be supposed to do sth","verb","B1","to be expected or intended to do something, especially when this does not happen"
"suppose","verb","C1","to think that something is likely to be true"
"be supposed to be sth","verb","B2","to be expected to be something, especially because of a rule, agreement, etc."
"be supposed to be sth","verb","B2","to be considered by many people to be something"
"suppose/supposing (that)","verb","C1","used to introduce an idea for someone to consider"
"be supposed to do sth","verb","B2","If you are supposed to do something, the rules say that you should do it."
"supposedly","adverb","C1","used to show that you do not believe that something you have been told is true"
"suppress (FEELINGS)","verb","C2","to control feelings so that they do not show"
"suppress (INFORMATION)","verb","C2","to prevent information from being known"
"suppress (FIGHT)","verb","C2","to stop someone or something by using force"
"sure","adjective","A2","certain"
"make sure (that)","adjective","A2","to take action so that you are certain that something happens, is true, etc."
"be sure of sth","adjective","B2","to be confident that something is true"
"be sure of yourself","adjective","B2","to be confident of your own abilities, qualities, etc."
"a sure thing","adjective","C1","something that is certain to happen"
"be sure to do sth","adjective","C1","If you are sure to do something, it is certain that you will do it."
"sure enough","adjective","C2","as expected"
"sure","adverb","A2","used to show agreement"
"for sure","adverb","B1","without any doubts"
"surely (LIKELY)","adverb","B2","used to show that you believe something is very likely"
"surely (EXPRESS SURPRISE)","adverb","B2","used to express surprise that something has happened or is going to happen"
"surf","verb","A2","to look at information on the Internet by moving from one page to another using electronic links"
"surf (WAVES)","verb","B1","to ride on a wave as it comes towards land, while standing or lying on a special board"
"surface (TOP)","noun","B2","the top or outside part of something"
"surface (PERSON)","noun","B2","what someone or something seems to be like when you do not know much about them"
"surfing","noun","A2","the sport of riding on a wave on a special board"
"surge","verb","C1","to increase very quickly"
"surge","noun","C1","a large increase in something"
"surgeon","noun","C1","a doctor who is specially trained to perform medical operations"
"surgery (PLACE)","noun","B2","a place where doctors or other medical workers treat people"
"surgery (OPERATION)","noun","B2","when a doctor cuts your body open and repairs or removes something"
"surname","noun","A2","the name that you and other members of your family all have"
"surpass","verb","C2","to be or do better than someone or something else"
"surplus","noun","C2","an amount of something that is more than you need"
"surprise (EVENT)","noun","A2","an event that you did not expect to happen"
"surprise (FEELING)","noun","B2","the feeling that you get when something happens that you did not expect"
"surprise","verb","B1","to make someone feel surprise"
"surprised","adjective","A2","feeling surprise because something has happened that you did not expect"
"surprising","adjective","B1","not expected and making someone feel surprised"
"surprisingly","adverb","B1","unexpectedly or in a way that is unusual"
"surrender","verb","C2","to stop fighting and admit that you have been beaten"
"surround (GO AROUND)","verb","B1","to be or go everywhere around something or someone"
"surround (CONNECTED WITH)","verb","C2","If a feeling or situation surrounds an event, it is closely connected with it."
"surrounding","adjective","B2","in a position around something"
"surroundings","noun","B2","the place where someone or something is and the things that are in it"
"survey","noun","B2","an examination of opinions, behaviour, etc., made by asking people questions"
"survey (QUESTION)","verb","C1","to ask people questions in order to find out about their opinions or behaviour"
"survey (EXAMINE)","verb","C1","to look at or examine something carefully"
"survival","noun","B2","when someone or something continues to live or exist, especially after a difficult or dangerous situation"
"survive","verb","B2","to continue to live or exist, especially after almost dying or being destroyed"
"survivor","noun","B2","someone who continues to live after almost dying because of an accident, illness, etc."
"suspect (THINK LIKELY)","verb","B2","to think that something is probably true, or is likely to happen"
"suspect (THINK GUILTY)","verb","B2","to think that someone may have committed a crime or done something bad"
"suspect (NOT TRUST)","verb","C2","to not trust someone or something"
"suspect","noun","B2","someone who may have committed a crime"
"suspend (NOT ALLOW)","verb","B2","to not allow someone to go to work or school for a period of time because they have done something wrong"
"suspend (STOP)","verb","C1","to stop something happening or existing for a short time"
"suspense","noun","C2","the feeling of excitement or nervousness that you have when you are waiting for something to happen"
"suspicion (BELIEF)","noun","B2","a belief or idea that something may be true"
"suspicion (THINK GUILTY)","noun","C1","a feeling or belief that someone has committed a crime or done something wrong"
"suspicious (SEEMING WRONG)","adjective","B2","making you feel that something illegal is happening or that something is wrong"
"suspicious (NOT TRUSTING)","adjective","B2","not trusting someone or something"
"suspiciously","adverb","B2","in a way that shows that you do not trust someone or something"
"sustain (CONTINUE)","verb","C2","to cause or allow something to continue for a period of time"
"sustain (SUPPORT)","verb","C2","to support someone or something so that they can live or exist"
"sustainability","noun","C2","the degree to which something is sustainable"
"sustainable (CONTINUE)","adjective","C1","able to continue over a period of time"
"sustainable (ENVIRONMENT)","adjective","C1","causing little or no damage to the environment and therefore able to continue for a long time"
"swallow (EAT)","verb","B2","to move your throat in order to make food or drink go down"
"swallow (ACCEPT)","verb","C2","to accept something unpleasant"
"swallow your anger/disappointment/pride, etc.","verb","C2","to not show your feelings and to not allow them to affect the way that you behave"
"swan","noun","B2","a large, white bird with a long neck which lives on lakes and rivers"
"swap","verb","C1","to give something to someone and get something from them in return"
"swear (RUDE WORDS)","verb","B2","to use language which people think is rude or offensive"
"swear (PROMISE)","verb","B2","to make a serious promise"
"swear (TRUE)","verb","C2","used to say that you are sure something is true"
"sweat","noun","B2","the salty colourless liquid that comes through your skin when you are hot, nervous or ill"
"sweat","verb","B2","to produce liquid through your skin because you are hot, nervous or ill"
"sweater","noun","A2","a warm piece of clothing which covers the top of your body and is pulled on over your head"
"sweatshirt","noun","B1","a piece of clothing made of soft cotton which covers the top of your body and is pulled on over your head"
"sweep","verb","B2","to clean the floor using a brush"
"be/get swept along/away, etc.","verb","B2","to be pushed or carried along in a forceful way"
"sweep along/into/past, etc.","verb","C2","to move quickly, especially in a way that shows you think you are important"
"sweet (TASTE)","adjective","A1","with a taste like sugar"
"sweet (ATTRACTIVE)","adjective","A2","attractive, often because of being small"
"sweet (KIND)","adjective","B1","kind and friendly"
"sweet","noun","A2","a small piece of sweet food, often made of sugar or chocolate"
"sweets","noun","A2","sweet food such as cake or candy"
"swift","adjective","C2","happening or moving quickly"
"swiftly","adverb","C2","quickly"
"swim","verb","A1","to move through water by moving your body"
"swim","noun","A2","a time when you swim"
"swimmer","noun","B1","someone who is swimming or who can swim"
"swimming","noun","A2","the activity of moving through water by moving your body"
"swimming costume","noun","A2","a piece of clothing you wear to go swimming"
"swimming pool","noun","A1","an area of water that has been made for people to swim in"
"swing","verb","B2","to move smoothly backwards and forwards, or to make something do this"
"swing","noun","B2","a chair hanging on two ropes that children sit on and swing backwards and forwards"
"switch","verb","B2","to change from one thing to another"
"switch","noun","B1","a small object that you push up or down with your finger to turn something electrical on or off"
"swollen","adjective","B2","larger than usual"
"sword","noun","B2","a weapon with a long sharp metal blade and a handle, used especially in the past"
"a double-edged sword","noun","C2","something that has both a positive and a negative effect"
"syllable","noun","B2","a word or part of a word that has one vowel sound"
"syllabus","noun","C2","a list of the subjects that are included in a course of study"
"symbol","noun","B2","a sign, shape or object which is used to represent something else"
"symbolic","adjective","C2","representing something else"
"sympathetic (PROBLEMS)","adjective","B2","showing that you understand and care about someone's problems"
"sympathetic (IDEAS)","adjective","C2","agreeing with or supporting someone's ideas or actions"
"sympathize (PROBLEMS)","verb","C2","to understand and care about someone's problems"
"sympathize (IDEAS)","verb","C2","to agree with or support someone's ideas or actions"
"sympathy (CARING)","noun","B2","when you show that you understand and care about someone's problems"
"sympathy (IDEAS)","noun","C2","agreement with or support for someone's ideas or actions"
"symptom (ILLNESS)","noun","B2","a physical feeling or problem which shows that you have a particular illness"
"symptom (PROBLEM)","noun","C2","a problem that is caused by and shows a more serious problem"
"synonym","noun","C2","a word or phrase that means the same as another word or phrase"
"synonymous (CONNECTED)","adjective","C2","If one thing is synonymous with another, they are very closely connected with each other in people's minds."
"synonymous (WORD)","adjective","C2","If one word is synonymous with another, they have the same meaning."
"system (EQUIPMENT)","noun","B1","a set of connected pieces of equipment that operate together"
"system (METHOD)","noun","B2","a way or method of doing things"
"system (BODY)","noun","C2","parts of the body that work together in order to make something happen"
"systematic","adjective","C2","done using a fixed and organized plan"
"systematically","adverb","C2","in a systematic way"
"table (FURNITURE)","noun","A1","a piece of furniture with four legs, used for eating off, putting things on, etc."
"table (INFORMATION)","noun","B1","an arrangement of facts and numbers in rows or blocks, especially in printed material"
"lay the table","noun","B1","to put plates, knives, forks, etc. on the table to prepare for a meal"
"tablet","noun","B1","a small, round object containing medicine that you swallow"
"table tennis","noun","A2","a game in which two or four people hit a small ball over a low net on a large table"
"tabloid","noun","B2","a type of popular newspaper with small pages which has many pictures and short simple reports"
"tabloid","adjective","B2","relating to tabloids"
"tackle (DEAL WITH)","verb","B2","to try to deal with a problem or to speak to someone about something bad that they have done"
"tackle (SPORT)","verb","B2","to try to get the ball from someone in a game such as football"
"tact","noun","C2","the ability to talk to people about difficult subjects without upsetting them"
"tactful","adjective","C2","careful not to say or do anything that could upset someone"
"tactic","noun","C1","a way of doing something that you plan in order to achieve what you want"
"tactless","adjective","C2","not careful about saying or doing something that could upset someone"
"tail","noun","B2","the long, narrow part that sticks out at the back of an animal's body"
"the tail end of sth","noun","C2","the last part of something"
"take (CARRY)","verb","A1","to get and carry something with you when you go somewhere"
"take (GO WITH SOMEONE)","verb","A1","to go somewhere with someone, often paying for them or being responsible for them"
"take a picture/photo(graph)","verb","A1","to photograph someone or something"
"take (TRAVEL)","verb","A2","to travel somewhere by using a bus, train, car, etc."
"take (NEEDS TIME)","verb","A2","If something takes a particular amount of time, you need that amount of time in order to be able to do it."
"Take care!","verb","A2","used when saying goodbye to someone"
"take (DIRECTIONS)","verb","A2","used to tell someone which road to go along in order to get somewhere"
"take (HEALTH)","verb","A2","to swallow or use medicine"
"take an exam","verb","A2","to do an exam"
"take (GET HOLD)","verb","B1","to get hold of something and move it"
"take (WITHOUT PERMISSION)","verb","B1","to remove something without permission"
"take (ACCEPT)","verb","B1","to accept or have something"
